Description,Total_Qty,Total_Rev
HAPPY BIRTHDAY CARD STRIPEY TEDDY,13,2.4699999999999998
WINE BOTTLE DRESSING LT.BLUE,14,3.04
FOLDING CAMPING SCISSOR W/KNIF & S,30,3.5999999999999996
GOLD PRINT PAPER BAG,19,3.6100000000000003
"LETTER ""F"" BLING KEY RING",13,3.7699999999999996
3 BLACK CATS W HEARTS BLANK CARD,24,4.56
"GREETING CARD, TWO SISTERS.",24,4.56
PINK FLUFFY CHRISTMAS DECORATION,24,4.5600000000000005
FLOWER PURPLE CLOCK WITH SUCKER,16,4.64
"LETTER ""B"" BLING KEY RING",13,4.7299999999999995
PINK CRYSTAL SKULL PHONE CHARM,25,4.75
ROUND ARTICULATED PINK CLOCK W/SUCK,28,5.32
WINE BOTTLE DRESSING DARK BLUE,43,5.5
"PET MUG, GOLDFISH",27,5.59
HEN HOUSE WITH CHICK STANDING,14,5.88
"LETTER ""V"" BLING KEY RING",14,5.9799999999999995
"LETTER ""R"" BLING KEY RING",15,6.27
PINK GAUZE BUTTERFLY LAMPSHADE,15,6.3
ELEPHANT CLIP W SUCTION CUP,16,6.72
SPOTS ON RED BOOKCOVER TAPE,16,6.72
ARMY CAMO BOOKCOVER TAPE,17,7.14
A4 WALL TIDY RED FLOWERS,13,7.37
BLACK PHOTO ALBUM ,15,7.5
SILICON STAR BULB  BLUE,18,7.5600000000000005
LADLE LOVE HEART PINK,19,7.98
CUTE BIRD CEATURE SCREEN,22,8.58
HAND PAINTED HANGING EASTER EGG,22,9.24
"LETTER ""N"" BLING KEY RING",18,10.02
LILAC GAUZE BUTTERFLY LAMPSHADE,24,10.08
FOLKART CHRISTMAS TREE T-LIGHT HOLD,27,10.260000000000002
FLAG OF ST GEORGE CAR FLAG,25,10.5
WRAP  PINK FLOCK,25,10.5
WRAP BLUE RUSSIAN FOLKART,25,10.5
"S/4 ICON COASTER,ELVIS LIVES",25,10.610000000000001
THE KING GIFT BAG 25x24x12cm,26,10.92
YELLOW PINK FLOWER DESIGN BIG BOWL,28,10.92
"LETTER ""P"" BLING KEY RING",28,10.999999999999998
THE KING GIFT BAG,17,11.05
SMALL SINGLE FLAME CANDLE HOLDER,33,11.549999999999999
POP ART PUSH DOWN RUBBER ,98,11.759999999999998
"ACRYLIC JEWEL ICICLE, BLUE",31,11.78
BLUE WHITE PLASTIC RINGS LAMPSHADE,14,11.899999999999999
ASS COL SMALL SAND GECKO P'WEIGHT,29,12.18
WISE MAN STAR SHAPE EGG PAN,24,13.139999999999999
72 CAKE CASES VINTAGE CHRISTMAS,24,13.2
CHRISTMAS TABLE CANDLE SILVER SPIKE,16,13.28
BLUE HANGING GINGHAM EASTER HEN,32,13.44
PINK HANGING GINGHAM EASTER HEN,32,13.44
GREEN/BLUE FLOWER DESIGN BIG MUG,23,13.649999999999999
LIGHT PINK FLOCK GLASS CANDLEHOLDER,36,13.679999999999998
CRYSTAL CZECH CROSS PHONE CHARM,19,13.689999999999998
BLUE CHECK BAG W HANDLE 34X20CM,17,14.110000000000001
CAROUSEL PONIES BABY BIB,33,14.369999999999996
YELLOW/PINK FLOWER DESIGN BIG MUG,33,14.430000000000001
HOLLY TOP CHRISTMAS STOCKING,17,14.45
PASTEL BLUE PHOTO ALBUM ,29,14.5
FOLDING MIRROR IVORY ,18,14.940000000000001
FOLDING MIRROR RED  ,18,14.940000000000001
"LETTER ""H"" BLING KEY RING",22,15.02
LILAC VOTIVE CANDLE,72,15.120000000000001
75 GREEN FAIRY CAKE CASES,28,15.400000000000004
BLUE HOLE PUNCH,13,16.25
PLAYING CARDS VINTAGE DOILEY ,13,16.25
VINTAGE BEAD PINK SHADE ,13,16.25
BLUE/YELLOW FLOWER DESIGN BIG MUG,31,16.77
PURPLE/COPPER HANGING LAMPSHADE,20,17.0
YELLOW FELT HANGING HEART W FLOWER,20,17.0
PINK/GREEN FLOWER DESIGN BIG MUG,40,17.16
"LETTER ""J"" BLING KEY RING",23,17.23
JAM JAR WITH BLUE LID,24,17.28
PINK/WHITE CHRISTMAS TREE 30CM,46,17.479999999999997
BLACK FEATHER CHRISTMAS DECORATION,96,18.240000000000002
"LETTER ""G"" BLING KEY RING",34,18.5
"LETTER ""Y"" BLING KEY RING",61,18.65
BIRD BOX CHRISTMAS TREE DECORATION,22,18.7
"LETTER ""I"" BLING KEY RING",25,18.77
BAG OF SILVER STONES,46,19.32
"RETRO TIN ASHTRAY,REVOLUTIONARY",52,19.4
YELLOW/ORANGE FLOWER DESIGN PLATE,68,19.72
CLEAR CRYSTAL STAR PHONE CHARM,47,20.39
CRYSTAL STILETTO PHONE CHARM,24,20.4
HEAVENS SCENT FRAGRANCE OILS ASSTD,72,20.88
KEEP CALM BIRTHDAY WRAP,50,21.0
WRAP A PRETTY THANK YOU,50,21.0
WRAP GREEN RUSSIAN FOLKART ,50,21.0
"LETTER ""M"" BLING KEY RING",27,22.23
